document_id|product_id|qty|original_price|total_price
64e169fc-bac0-44ef-86ce-cdb742cba292|000053825|12|15,56|186,72
ae603e91-6bcf-4ddf-9572-7fe2af0e4162|000049543|2|33|66
8072a683-8255-472a-a196-867c5ca42faf|000050034|2|19,98|39,96
878eb89f-8593-4b36-a733-1b6e82f6cc98|000008115|0,821|219,9|180,5379
878eb89f-8593-4b36-a733-1b6e82f6cc98|000012385|0,942|269,9|254,2458
878eb89f-8593-4b36-a733-1b6e82f6cc98|000012400|1,681|219,9|369,6519
878eb89f-8593-4b36-a733-1b6e82f6cc98|000021204|0,625|209,9|131,1875
878eb89f-8593-4b36-a733-1b6e82f6cc98|000026351|0,335|259,91|87,06985
ba29f946-3788-403c-b7ff-6ecee981636a|000024111|1|45,47|45,47
ae603e91-6bcf-4ddf-9572-7fe2af0e4162|000052790|1|35,4|35,4
ae603e91-6bcf-4ddf-9572-7fe2af0e4162|000052800|1|21|21
878eb89f-8593-4b36-a733-1b6e82f6cc98|000047264|0,139|79,93|11,11027
a6af3c3d-67bd-40b3-b439-84f06bf9d49c|000047262|0,341|119,91|40,88931
ba29f946-3788-403c-b7ff-6ecee981636a|000035594|6|11,99|71,94
8072a683-8255-472a-a196-867c5ca42faf|000049535|2|21|42
878eb89f-8593-4b36-a733-1b6e82f6cc98|000012401|0,934|24,9|23,2566
878eb89f-8593-4b36-a733-1b6e82f6cc98|000028366|0,607|89,9|54,5693
878eb89f-8593-4b36-a733-1b6e82f6cc98|000031251|0,807|259,9|209,7393
ae603e91-6bcf-4ddf-9572-7fe2af0e4162|000049533|7|22,98|160,86
ae603e91-6bcf-4ddf-9572-7fe2af0e4162|000049535|2|21|42
ae603e91-6bcf-4ddf-9572-7fe2af0e4162|000052799|1|21|21
878eb89f-8593-4b36-a733-1b6e82f6cc98|000012390|0,265|119,89|31,77085
878eb89f-8593-4b36-a733-1b6e82f6cc98|000012411|0,612|219,89|134,57268
8072a683-8255-472a-a196-867c5ca42faf|000049544|1|22,98|22,98
8072a683-8255-472a-a196-867c5ca42faf|000052134|1|22,98|22,98
8072a683-8255-472a-a196-867c5ca42faf|000053447|1|18|18
07e0ba74-8759-4c7a-a5ed-181c1a819317|000035264|7|4,23|29,61
878eb89f-8593-4b36-a733-1b6e82f6cc98|000006917|0,166|289,88|48,12008
878eb89f-8593-4b36-a733-1b6e82f6cc98|000012393|9,134|227,72|2079,99448
59965d98-d554-4f5b-8fc6-63b540fb88ad|000010767|0,852|165,52|141,02304
af8e03cf-2ff4-4fcc-963c-d6dd4e0b0a5c|000018764|8|60,31|482,48
878eb89f-8593-4b36-a733-1b6e82f6cc98|000008116|1,213|189,9|230,3487
878eb89f-8593-4b36-a733-1b6e82f6cc98|000009127|2,492|109,9|273,8708
878eb89f-8593-4b36-a733-1b6e82f6cc98|000009136|4,049|194,9|789,1501
878eb89f-8593-4b36-a733-1b6e82f6cc98|000012388|0,65|269,89|175,4285
878eb89f-8593-4b36-a733-1b6e82f6cc98|000024347|3,193|199,9|638,2807
ae603e91-6bcf-4ddf-9572-7fe2af0e4162|000050027|2|28,38|56,76
ae603e91-6bcf-4ddf-9572-7fe2af0e4162|000052134|1|22,98|22,98
8072a683-8255-472a-a196-867c5ca42faf|000049545|2|27,96|55,92
878eb89f-8593-4b36-a733-1b6e82f6cc98|000009118|0,087|99,89|8,69043
878eb89f-8593-4b36-a733-1b6e82f6cc98|000009133|0,282|159,89|45,08898
878eb89f-8593-4b36-a733-1b6e82f6cc98|000009139|3,167|89,9|284,7133
878eb89f-8593-4b36-a733-1b6e82f6cc98|000012403|4,12|319,9|1317,988
878eb89f-8593-4b36-a733-1b6e82f6cc98|000014680|0,324|189,91|61,53084
878eb89f-8593-4b36-a733-1b6e82f6cc98|000042880|0,95|69,89|66,3955
878eb89f-8593-4b36-a733-1b6e82f6cc98|000032522|0,858|139,9|120,0342
878eb89f-8593-4b36-a733-1b6e82f6cc98|000038593|1,308|329,9|431,5092
878eb89f-8593-4b36-a733-1b6e82f6cc98|000047262|1,069|119,9|128,1731
878eb89f-8593-4b36-a733-1b6e82f6cc98|000047263|0,458|123,91|56,75078
