document_id|product_id|qty|original_price|total_price
7d8f7003-770b-42bc-a5e8-c629af3a5fab|000007498|0,228|133,86|30,52008
7d8f7003-770b-42bc-a5e8-c629af3a5fab|000042022|0,183|155,03|28,37049
7d8f7003-770b-42bc-a5e8-c629af3a5fab|000042481|0,311|125,63|39,07093
7d8f7003-770b-42bc-a5e8-c629af3a5fab|000048396|0,165|138|22,77
c61151e8-a9b2-4789-bdb0-6fd3a36d88ef|000010683|0,718|184,69|132,60742
c61151e8-a9b2-4789-bdb0-6fd3a36d88ef|000010708|0,194|80|15,52
c61151e8-a9b2-4789-bdb0-6fd3a36d88ef|000010710|1,756|54|94,824
c61151e8-a9b2-4789-bdb0-6fd3a36d88ef|000010714|0,46|62,48|28,7408
c61151e8-a9b2-4789-bdb0-6fd3a36d88ef|000010716|0,166|38,98|6,47068
c61151e8-a9b2-4789-bdb0-6fd3a36d88ef|000010717|0,998|125|124,75
c61151e8-a9b2-4789-bdb0-6fd3a36d88ef|000010720|0,518|210|108,78
c61151e8-a9b2-4789-bdb0-6fd3a36d88ef|000010732|0,568|24|13,632
c61151e8-a9b2-4789-bdb0-6fd3a36d88ef|000010741|0,1|76|7,6
c61151e8-a9b2-4789-bdb0-6fd3a36d88ef|000010751|0,206|56,99|11,73994
c61151e8-a9b2-4789-bdb0-6fd3a36d88ef|000010761|0,046|110|5,06
c61151e8-a9b2-4789-bdb0-6fd3a36d88ef|000010767|0,866|195|168,87
c61151e8-a9b2-4789-bdb0-6fd3a36d88ef|000010770|0,248|245|60,76
c61151e8-a9b2-4789-bdb0-6fd3a36d88ef|000010787|0,356|28,99|10,32044
c61151e8-a9b2-4789-bdb0-6fd3a36d88ef|000010788|0,288|28,99|8,34912
c61151e8-a9b2-4789-bdb0-6fd3a36d88ef|000010797|0,106|279,15|29,5899
c61151e8-a9b2-4789-bdb0-6fd3a36d88ef|000010800|0,412|156,55|64,4986
c61151e8-a9b2-4789-bdb0-6fd3a36d88ef|000010808|0,316|28,01|8,85116
c61151e8-a9b2-4789-bdb0-6fd3a36d88ef|000010845|0,15|44|6,6
c61151e8-a9b2-4789-bdb0-6fd3a36d88ef|000010847|0,412|45|18,54
c61151e8-a9b2-4789-bdb0-6fd3a36d88ef|000010856|0,2|44|8,8
c61151e8-a9b2-4789-bdb0-6fd3a36d88ef|000010857|0,104|47,98|4,98992
c61151e8-a9b2-4789-bdb0-6fd3a36d88ef|000010859|0,21|44|9,24
c61151e8-a9b2-4789-bdb0-6fd3a36d88ef|000021231|2,204|29|63,916
c61151e8-a9b2-4789-bdb0-6fd3a36d88ef|000029652|0,356|30|10,68
c61151e8-a9b2-4789-bdb0-6fd3a36d88ef|000040992|0,464|115|53,36
c61151e8-a9b2-4789-bdb0-6fd3a36d88ef|000041078|0,386|114,97|44,37842
c61151e8-a9b2-4789-bdb0-6fd3a36d88ef|000041292|0,538|100|53,8
c61151e8-a9b2-4789-bdb0-6fd3a36d88ef|000041630|1|32,97|32,97
