document_id|product_id|qty|original_price|total_price
56cabd9a-87bb-42a8-b334-ac296ba7940b|000007545|0,242|101,4|24,5388
2c5fd86a-01c4-4597-8b1f-b08fc2cff7f1|000033741|0,128|105,94|13,56032
2c5fd86a-01c4-4597-8b1f-b08fc2cff7f1|000014750|0,012|63,33|0,75996
2c5fd86a-01c4-4597-8b1f-b08fc2cff7f1|000017384|4|19,74|78,96
2c5fd86a-01c4-4597-8b1f-b08fc2cff7f1|000044670|5|2,7|13,5
2c5fd86a-01c4-4597-8b1f-b08fc2cff7f1|000040122|1|20,34|20,34
2c5fd86a-01c4-4597-8b1f-b08fc2cff7f1|000045636|26|2,4|62,4
56cabd9a-87bb-42a8-b334-ac296ba7940b|000010808|0,443|30|13,29
6a51eb67-752d-4d54-92d4-747c0dd8ca7b|000029654|0,03|131|3,93
56cabd9a-87bb-42a8-b334-ac296ba7940b|000006705|1|102,82|102,82
56cabd9a-87bb-42a8-b334-ac296ba7940b|000008031|0,006|233,33|1,39998
2c5fd86a-01c4-4597-8b1f-b08fc2cff7f1|000033016|2,191|251,96|552,04436
56cabd9a-87bb-42a8-b334-ac296ba7940b|000006745|0,613|247,01|151,41713
2c5fd86a-01c4-4597-8b1f-b08fc2cff7f1|000054624|0,026|144,62|3,76012
2c5fd86a-01c4-4597-8b1f-b08fc2cff7f1|000038319|1|12|12
2c5fd86a-01c4-4597-8b1f-b08fc2cff7f1|000044363|2,311|311|718,721
2c5fd86a-01c4-4597-8b1f-b08fc2cff7f1|000053164|0,788|106,1|83,6068
56cabd9a-87bb-42a8-b334-ac296ba7940b|000008100|0,037|199,46|7,38002
2c5fd86a-01c4-4597-8b1f-b08fc2cff7f1|000038194|0,292|104,28|30,44976
56cabd9a-87bb-42a8-b334-ac296ba7940b|000007219|1|16,73|16,73
56cabd9a-87bb-42a8-b334-ac296ba7940b|000016420|1|17,64|17,64
2c5fd86a-01c4-4597-8b1f-b08fc2cff7f1|000006244|0,087|90,57|7,87959
2c5fd86a-01c4-4597-8b1f-b08fc2cff7f1|000047191|150|1|150
2c5fd86a-01c4-4597-8b1f-b08fc2cff7f1|000038318|1|8,7|8,7
2c5fd86a-01c4-4597-8b1f-b08fc2cff7f1|000043248|1|242,95|242,95
2c5fd86a-01c4-4597-8b1f-b08fc2cff7f1|000012048|1|163,94|163,94
2c5fd86a-01c4-4597-8b1f-b08fc2cff7f1|000014854|0,004|120|0,48
56cabd9a-87bb-42a8-b334-ac296ba7940b|000010835|0,014|125|1,75
56cabd9a-87bb-42a8-b334-ac296ba7940b|000049714|0,002|240|0,48
2c5fd86a-01c4-4597-8b1f-b08fc2cff7f1|000008927|2|4,5|9
2c5fd86a-01c4-4597-8b1f-b08fc2cff7f1|000014863|0,124|193,06|23,93944
2c5fd86a-01c4-4597-8b1f-b08fc2cff7f1|000022028|2|12|24
2c5fd86a-01c4-4597-8b1f-b08fc2cff7f1|000006287|0,933|560|522,48
56cabd9a-87bb-42a8-b334-ac296ba7940b|000051905|0,685|50,99|34,92815
7a61bd8b-6315-4f9a-a3d7-9b124a583201|000041187|1|250|250
56cabd9a-87bb-42a8-b334-ac296ba7940b|000008492|0,07|63,43|4,4401
56cabd9a-87bb-42a8-b334-ac296ba7940b|000028366|1,527|89,97|137,38419
56cabd9a-87bb-42a8-b334-ac296ba7940b|000013513|0,002|525|1,05
