document_id|product_id|qty|original_price|total_price
86e5ca86-f91c-4487-8214-027d82e67d82|000006745|0,349|240|83,76
86e5ca86-f91c-4487-8214-027d82e67d82|000007824|0,006|368,33|2,20998
86e5ca86-f91c-4487-8214-027d82e67d82|000007992|0,798|152,04|121,32792
86e5ca86-f91c-4487-8214-027d82e67d82|000008116|0,17|189,88|32,2796
86e5ca86-f91c-4487-8214-027d82e67d82|000009136|0,158|204,87|32,36946
86e5ca86-f91c-4487-8214-027d82e67d82|000010145|0,02|212|4,24
86e5ca86-f91c-4487-8214-027d82e67d82|000011544|0,004|77,5|0,31
86e5ca86-f91c-4487-8214-027d82e67d82|000012385|1,01|269,9|272,599
86e5ca86-f91c-4487-8214-027d82e67d82|000012393|0,118|224,92|26,54056
86e5ca86-f91c-4487-8214-027d82e67d82|000012410|0,059|139,83|8,24997
86e5ca86-f91c-4487-8214-027d82e67d82|000012411|0,026|230|5,98
86e5ca86-f91c-4487-8214-027d82e67d82|000013737|1|43,8|43,8
86e5ca86-f91c-4487-8214-027d82e67d82|000014678|0,342|199,91|68,36922
86e5ca86-f91c-4487-8214-027d82e67d82|000018540|4|122,86|491,44
86e5ca86-f91c-4487-8214-027d82e67d82|000021231|0,362|28,01|10,13962
86e5ca86-f91c-4487-8214-027d82e67d82|000024310|39|21,48|837,72
86e5ca86-f91c-4487-8214-027d82e67d82|000024347|0,062|199,84|12,39008
86e5ca86-f91c-4487-8214-027d82e67d82|000024960|5|191,48|957,4
86e5ca86-f91c-4487-8214-027d82e67d82|000025188|0,34|43,56|14,8104
86e5ca86-f91c-4487-8214-027d82e67d82|000029066|1,869|107,52|200,95488
86e5ca86-f91c-4487-8214-027d82e67d82|000030156|0,03|119|3,57
86e5ca86-f91c-4487-8214-027d82e67d82|000030614|0,002|540|1,08
86e5ca86-f91c-4487-8214-027d82e67d82|000031876|0,009|134,44|1,20996
86e5ca86-f91c-4487-8214-027d82e67d82|000032430|1,64|161,01|264,0564
86e5ca86-f91c-4487-8214-027d82e67d82|000041675|0,058|222,41|12,89978
86e5ca86-f91c-4487-8214-027d82e67d82|000042266|0,008|306,25|2,45
86e5ca86-f91c-4487-8214-027d82e67d82|000042365|0,048|197,92|9,50016
86e5ca86-f91c-4487-8214-027d82e67d82|000042987|0,018|212,78|3,83004
86e5ca86-f91c-4487-8214-027d82e67d82|000043320|2|70,98|141,96
86e5ca86-f91c-4487-8214-027d82e67d82|000046931|1,068|114|121,752
86e5ca86-f91c-4487-8214-027d82e67d82|000048423|8|101,67|813,36
86e5ca86-f91c-4487-8214-027d82e67d82|000050415|2|29,32|58,64
86e5ca86-f91c-4487-8214-027d82e67d82|000050452|1|42,36|42,36
86e5ca86-f91c-4487-8214-027d82e67d82|000051067|3|31|93
43daa697-0ccd-4b76-9bcf-765a375f21bb|000007897|0,273|339,52|92,68896
43daa697-0ccd-4b76-9bcf-765a375f21bb|000008104|0,039|618,97|24,13983
43daa697-0ccd-4b76-9bcf-765a375f21bb|000008115|0,102|219,9|22,4298
43daa697-0ccd-4b76-9bcf-765a375f21bb|000008662|0,152|128,88|19,58976
43daa697-0ccd-4b76-9bcf-765a375f21bb|000008667|0,058|252,59|14,65022
43daa697-0ccd-4b76-9bcf-765a375f21bb|000008669|0,02|221,5|4,43
43daa697-0ccd-4b76-9bcf-765a375f21bb|000009140|0,036|60|2,16
43daa697-0ccd-4b76-9bcf-765a375f21bb|000009304|0,022|336,82|7,41004
43daa697-0ccd-4b76-9bcf-765a375f21bb|000010088|0,41|218,83|89,7203
43daa697-0ccd-4b76-9bcf-765a375f21bb|000010287|0,025|184|4,6
43daa697-0ccd-4b76-9bcf-765a375f21bb|000010289|0,03|198|5,94
43daa697-0ccd-4b76-9bcf-765a375f21bb|000012385|0,054|269,81|14,56974
43daa697-0ccd-4b76-9bcf-765a375f21bb|000012388|0,014|300|4,2
43daa697-0ccd-4b76-9bcf-765a375f21bb|000012402|0,042|250|10,5
43daa697-0ccd-4b76-9bcf-765a375f21bb|000012407|0,028|215|6,02
43daa697-0ccd-4b76-9bcf-765a375f21bb|000013737|1|43,8|43,8
43daa697-0ccd-4b76-9bcf-765a375f21bb|000014678|2,972|199,9|594,1028
43daa697-0ccd-4b76-9bcf-765a375f21bb|000021204|0,03|200|6
43daa697-0ccd-4b76-9bcf-765a375f21bb|000024846|1|61,6|61,6
43daa697-0ccd-4b76-9bcf-765a375f21bb|000028025|0,018|257,78|4,64004
43daa697-0ccd-4b76-9bcf-765a375f21bb|000028366|0,366|89,89|32,89974
43daa697-0ccd-4b76-9bcf-765a375f21bb|000029039|0,029|332,07|9,63003
43daa697-0ccd-4b76-9bcf-765a375f21bb|000033050|0,074|184,05|13,6197
43daa697-0ccd-4b76-9bcf-765a375f21bb|000033874|10|2,7|27
43daa697-0ccd-4b76-9bcf-765a375f21bb|000033875|6|1,45|8,7
43daa697-0ccd-4b76-9bcf-765a375f21bb|000036283|2,142|144,65|309,8403
43daa697-0ccd-4b76-9bcf-765a375f21bb|000037848|0,013|141,54|1,84002
43daa697-0ccd-4b76-9bcf-765a375f21bb|000041018|4,417|348|1537,116
43daa697-0ccd-4b76-9bcf-765a375f21bb|000041311|0,018|208,89|3,76002
43daa697-0ccd-4b76-9bcf-765a375f21bb|000041675|1,7|222,42|378,114
43daa697-0ccd-4b76-9bcf-765a375f21bb|000043016|0,02|272|5,44
43daa697-0ccd-4b76-9bcf-765a375f21bb|000047264|0,098|79,9|7,8302
43daa697-0ccd-4b76-9bcf-765a375f21bb|000047305|0,01|115|1,15
