id|name
100000159| Содержание и текущий ремонт основных средств
100000005|(не вик. з 01.01.2015) Амортизація тимчасової різниці, що виникла за залишками ОЗ на 01.04.2011
100000007|(не вик. з 01.01.2015) Перерахунок сум витрат при врегулюванні безнадійної заборгованості
100000119|IT поддержка (услуги системного администратора, 1С консультанта)
100000025|Адміністративні витрати
100000075|Амортизація витрат на поліпшення й ремонт орендованих ОЗ, що амортизуються як окремий об'єкт ОЗ
100000023|Амортизація нематеріальних активів загальновиробничого призначення
100000036|Амортизація нематеріальних активів загальногосподарського використання
100000054|Амортизація нематеріальних активів, пов'язаних зі збутом продукції, робіт, послуг
100000067|Амортизація необоротних активів, переданих в оперативну оренду
100000079|Амортизація НМА, що використовуютьсяв іншій операційній діяльності підприємства
100000022|Амортизація ОЗ загальновиробничого призначення
100000037|Амортизація ОЗ загальногосподарського використання
100000055|Амортизація ОЗ, пов'язаних зі збутом продукції, виконанням робіт, наданням послуг
100000077|Амортизація ОЗ, що використовуються в іншій операційній діяльності підприємства
100000195|Амортизація тимчасової різниці, що виникла за залишками ОЗ в 2020 р.
100000146|Аренда других объектов
100000253|Аренда неоткрытых ТТ
100000144|Аренда основных средств
100000147|Аренда офиса
100000198|Аренда ПОС
100000145|Аренда производственного (торгового) оборудования
100000148|Аренда склада
100000095|Аренда торговой точки
100000149|Аренда торговых точек
100000200|Банковские услуги (аренда терминалов) и расчетно-кассовое обслуживание (ТТ)
100000189|Банковские услуги за перечисления на карты
100000120|Банковские услуги и расчетно-кассовое обслуживание (филиал)
100000257|Блистерная упаковка ТТ
100000168|Брак и неликвиды
100000241|Бумага, пищевая пленка, пакеты для производства (СП)
100000029|Винагорода за консультаційні, інформаційні, аудиторські й інші послуги
100000094|Витрати на будівництво й монтаж устаткування
100000015|Витрати на вдосконалення технології й організації виробництва
100000047|Витрати на відрядження працівників, зайнятих збутом
100000031|Витрати на врегулювання спорів у судах
100000050|Витрати на гарантійний ремонт і гарантійне обслуговування
100000039|Витрати на збут
100000072|Витрати на інформаційне забезпечення, придбання літератури, оплату інтернет-послуг і періодики
100000044|Витрати на комісійну винагороду продавцям, торгівельним агентам
100000017|Витрати на обслуговування виробничого процесу
100000016|Витрати на опалення, освітлення, водопостачання та ін. з утримування виробничих приміщень
100000030|Витрати на оплату послуг зв'язки
100000042|Витрати на оплату праці (збут)
100000033|Витрати на оплату праці апарату управління підприємством (адміністративні)
100000011|Витрати на оплату праці апарату управління цехами (ЗВВ)
100000013|Витрати на оплату службових відряджень персоналу цехів
100000018|Витрати на охорону праці, техніку безпеки
100000040|Витрати на пакувальні матеріали для затарювання товарів на складах готової продукції
100000045|Витрати на передпродажну підготовку товарів
100000060|Витрати на придбання ліцензій і інших спеціальних дозволів
100000061|Витрати на реєстрацію підприємства в органах державної реєстрації
100000046|Витрати на рекламу й дослідження ринку (маркетинг) крім придбань у нерезидента
100000041|Витрати на ремонт тари
