Город;ID_магазина;Название_магазина;ID_типа_списания;Тип_списания;Количество_документов;Сумма_списаний;Количество_товаров;
Белая Церковь;ffdbc03b-272e-471a-9da1-a0de9392516c;100 БЦ (РУЛЬКА);100,000,166;Недостачи по инвентаризации;9;110143,24;5,422.40;110143,24
Белая Церковь;ffdbc03b-272e-471a-9da1-a0de9392516c;100 БЦ (РУЛЬКА);100,000,170;Списание ТМЦ;34;36925,28;275.60;36925,28
Белая Церковь;ffdbc03b-272e-471a-9da1-a0de9392516c;100 БЦ (РУЛЬКА);100,000,172;Дегустация;13;2489,47;дек.90;2489,47
Белая Церковь;ffdbc03b-272e-471a-9da1-a0de9392516c;100 БЦ (РУЛЬКА);100,000,257;Блистерная упаковка ТТ;1;0;0;0
Белая Церковь;ffdbc03b-272e-471a-9da1-a0de9392516c;100 БЦ (РУЛЬКА);100,000,262;Другое ( прочие расходы) ТТ;1;0;0;0
Белая Церковь;ffdbc03b-272e-471a-9da1-a0de9392516c;100 БЦ (РУЛЬКА);100,000,232;Канцелярские товары ТТ;1;0;0;0
Белая Церковь;ffdbc03b-272e-471a-9da1-a0de9392516c;100 БЦ (РУЛЬКА);100,000,228;Кассовая лента ТТ;1;0;0;0
Белая Церковь;ffdbc03b-272e-471a-9da1-a0de9392516c;100 БЦ (РУЛЬКА);100,000,234;Моющие дезинфецирующие средства ТТ;1;0;0;0
Белая Церковь;ffdbc03b-272e-471a-9da1-a0de9392516c;100 БЦ (РУЛЬКА);100,000,256;Пакеты мясные ( подложка) ТТ;1;0;0;0
Белая Церковь;ffdbc03b-272e-471a-9da1-a0de9392516c;100 БЦ (РУЛЬКА);100,000,254;Пакеты фасовочные ТТ;1;0;0;0
Белая Церковь;ffdbc03b-272e-471a-9da1-a0de9392516c;100 БЦ (РУЛЬКА);100,000,255;Перчатки ТТ;1;0;0;0
Белая Церковь;ffdbc03b-272e-471a-9da1-a0de9392516c;100 БЦ (РУЛЬКА);100,000,231;Пищевая пленка ТТ;1;0;0;0
Белая Церковь;ffdbc03b-272e-471a-9da1-a0de9392516c;100 БЦ (РУЛЬКА);100,000,236;Тряпки, губки, пакеты для мусора ТТ;1;0;0;0
